#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"SAMaccountName","Enabled","LastLogonDate"
"___VMware_Conv_SA___","True",
"___VMware_Conv_SA___","True",
"___VMware_Conv_SA___","True",
"172-HTTP","True","4/20/2015 6:05:36 AM"
"AAD_69a42d8829f0","True","11/27/2018 11:02:54 PM"
"AAD_deb975960dd7","True","2/11/2022 4:03:26 PM"
"abchealth.performrx","True","3/23/2018 4:14:46 PM"
"accessma-claims-prod","True","10/6/2018 11:51:32 PM"
"acs","True","2/11/2022 4:02:03 AM"
"AcsGchpClaims","True","4/18/2019 11:52:23 PM"
"acs-gchp-claimsstg","True","12/8/2021 12:24:16 AM"
"adam","True",
"adam-sa","True","2/3/2022 10:21:27 PM"
"ADFS__DEV_DBY","True","10/17/2016 10:44:21 AM"
"ADFS_TRN_ABCCO","True","11/16/2021 9:12:59 AM"
"adfspoc","True",
"adfstest","True",
"adminuser","True","12/6/2017 10:33:22 AM"
"afc_feed","True","11/4/2021 3:00:00 AM"
"afc_nc","True","2/7/2021 2:51:47 AM"
"afc_op","True","11/19/2021 2:47:00 PM"
"afc_sc","True","1/30/2021 2:34:48 AM"
"afcnc-claims-prod","True","5/5/2021 8:05:04 PM"
"afcnc-medicaregw","True","5/4/2021 9:11:03 PM"
"afcnc-portal","True","9/7/2021 10:49:44 PM"
"afcnc-portals-prod","True","5/3/2021 1:04:13 AM"
"afcnc-portals-test","True","9/11/2017 12:45:39 AM"
"afcop","True","11/8/2021 6:04:42 AM"
"afcop-claims-prod","True","5/11/2021 8:05:06 PM"
"afcop-medicaregw","True","5/8/2021 5:16:43 AM"
"afcop-portals","True","4/13/2018 1:47:48 AM"
"afc-portals","True","11/5/2021 11:13:29 AM"
"afcsc-claims-prod","True","5/7/2021 8:05:04 PM"
"afcsc-medicaregw","True","5/5/2021 5:55:01 PM"
"afcsc-portals-prod","True","5/3/2021 1:04:13 AM"
"afcsc-portals-test","True","10/2/2017 3:36:28 AM"
"affinity_ny","True","12/9/2021 10:11:25 AM"
"affinity_reps","True",
"affinity-claimsid","True",
"affinityny_odi","True","1/23/2020 12:01:14 AM"
