SAMaccountName,Domain
___vmware_conv_sa___,IKAPROD60.COM
___vmware_conv_sa___,IKASTG.COM
___vmware_conv_sa___,IKASYSTEMS.COM
172-http,IKASYSTEMS.COM
aad_69a42d8829f0,IKASYSTEMS.COM
abchealth.performrx,IKACLAIMS40.COM
accessma-claims-prod,IKACLAIM.COM
acs,IKASERVICES.COM
acsgchpclaims,IKACLAIMS45.COM
acs-gchp-claimsstg,IKACLAIMS45.COM
adam,IKACLAIMS40.COM
adam-sa,IKASYSTEMS.COM
adfs__dev_dby,ENTCORE.COM
adfs_trn_abcco,ENTCORE.COM
adfspoc,IKACLAIM.COM
adfstest,IKACLAIMS40.COM
adminuser,IKASYSTEMS.COM
afc_feed,IKASERVICES.COM
afc_nc,IKASERVICES.COM
afc_op,IKASERVICES.COM
afc_sc,IKASERVICES.COM
afcnc-claims-prod,IKACLAIM.COM
afcnc-medicaregw,IKACLAIM.COM
afcnc-portal,IKACLAIMS45.COM
afcnc-portals-prod,IKACLAIM.COM
afcnc-portals-test,IKACLAIM.COM
afcop,IKACLAIMS45.COM
afcop-claims-prod,IKACLAIM.COM
afcop-medicaregw,IKACLAIM.COM
afcop-portals,IKACLAIMS45.COM
afc-portals,IKACLAIMS45.COM
afcsc-claims-prod,IKACLAIM.COM
afcsc-medicaregw,IKACLAIM.COM
afcsc-portals-prod,IKACLAIM.COM
afcsc-portals-test,IKACLAIM.COM
affinity_ny,IKASERVICES.COM
affinity_reps,IKASTG.COM
affinity-claimsid,IKASTG.COM
affinityny_odi,IKASERVICES.COM
affinity-wcfpro,IKAPROD60.COM
affinity-wcfpro,IKASTG.COM
affprovportal,IKASTG.COM
amerihm,IKASERVICES.COM
amerihm_mdwise,IKASERVICES.COM
amherst,IKASYSTEMS.COM
anhwt_hap,IKASERVICES.COM
aon,IKASERVICES.COM
appealsandgrievances,IKASYSTEMS.COM
apple,IKASYSTEMS.COM
ar_enrollment,IKASYSTEMS.COM
aspnet,IKACLAIMS40.COM
aspnet,IKACLAIMS45.COM
atlantis-claims,IKACLAIMS45.COM
atlantis-claims-medi,IKACLAIM.COM
atlantisclaimsnew,IKACLAIMS45.COM
atlantis-claims-prod,IKACLAIM.COM
atlantis-medicaregw,IKACLAIM.COM
atlantis-portals,IKACLAIM.COM
avlty_chpw,IKASERVICES.COM
backup,IKACLAIM.COM
baseball,IKASYSTEMS.COM
basketball,IKASYSTEMS.COM
bcbs_reports,IKASERVICES.COM
bcbsa,IKASERVICES.COM
bcbsm,IKASERVICES.COM
bcbsm_its,IKASERVICES.COM
bcbsnep2p,IKASYSTEMS.COM
beaconhs,IKASERVICES.COM
beaconhs_jmhp,IKASERVICES.COM
beaconhs_passport,IKASERVICES.COM
beaconhsmd_passport,IKASERVICES.COM
beehive,IKASERVICES.COM
bentley,IKASYSTEMS.COM
beyondtrust,IKASYSTEMS.COM
bhs_affny,IKASERVICES.COM
billinginformation,IKASYSTEMS.COM
biztalk_isoadmin,IKASERVICES.COM
biztalk_prd,IKASYSTEMS.COM
biztalk_tst,IKASYSTEMS.COM
biztalkqa,IKASYSTEMS.COM
biztlkprod_feed,IKASERVICES.COM
bloom,IKASERVICES.COM
boa_hphc,IKASERVICES.COM
boardroom,IKASYSTEMS.COM
btrequestor,SERVICES.ENTCORE.COM
buildguy,IKASYSTEMS.COM
bvision,IKASERVICES.COM
bvision_passport,IKASERVICES.COM
bvisiont,IKASERVICES.COM
bvsn_affny,IKASERVICES.COM
cabjoinme,IKASYSTEMS.COM
carem_affny,IKASERVICES.COM
cas_ceedadea795e405d,IKASYSTEMS.COM
ccore_affny,IKASERVICES.COM
cd_isftp,IKASERVICES.COM
chpw_reports,IKASERVICES.COM
claimstraining,IKACLAIMS45.COM
cmcm_chpw,IKASERVICES.COM
cms-aemc-claims,IKACLAIMS45.COM
columbia,IKASYSTEMS.COM
command,IKASERVICES.COM
cph_chpw,IKASERVICES.COM
cpsadmin,IKASERVICES.COM
cpsmvp,IKAPROD60.COM
cpsprod,IKAPROD60.COM
cpsrepl,IKAPROD60.COM
cpsrepl,IKAPROD90.COM
crm,IKASYSTEMS.COM
ctmagnt,ENTCORE.COM
ctmagnt,IKACLAIMS40.COM
ctmagnt,IKAPROD130.COM
ctmagnt,IKAPROD55.COM
ctmagnt,IKAPROD60.COM
ctmagnt,IKASERVICES.COM
ctmagnt,IKASTG.COM
ctmagnt,IKASYSTEMS.COM
ctmagnt_horizon,IKASERVICES.COM
ctrlmnotifications,IKASYSTEMS.COM
datacenterftp,IKASERVICES.COM
dell_affny,IKASERVICES.COM
dell_chpw,IKASERVICES.COM
dell_ikahss,IKASERVICES.COM
dellbpo_affny,IKASERVICES.COM
dell-claims,IKACLAIMS45.COM
dell-claims45-test,IKACLAIMS40.COM
dellclm_affny,IKASERVICES.COM
demoikacorr,IKACLAIM.COM
demoprohedis,IKASTG.COM
deploy134,IKASYSTEMS.COM
desktoptest2,IKASYSTEMS.COM
donotreply,IKASYSTEMS.COM
dr_file_rep,IKACLAIM.COM
dr_file_rep,IKACLAIMS40.COM
dr_file_rep,IKAPROD60.COM
drreplication,IKAPROD60.COM
ea_admins,IKASYSTEMS.COM
easychoice-portals-p,IKACLAIM.COM
easyshare-portals,IKACLAIMS45.COM
ehealth_hphcp,IKASERVICES.COM
ehealth_hphct,IKASERVICES.COM
emdeon,IKASERVICES.COM
emdeon_jmhp,IKASERVICES.COM
emdeonfhp,IKASERVICES.COM
emdeonmed,IKASERVICES.COM
emdn_affny,IKASERVICES.COM
emdn_hphc,IKASERVICES.COM
emerson,IKASYSTEMS.COM
eschc_img,IKASERVICES.COM
esi_chpw,IKASERVICES.COM
extendh_hap,IKASERVICES.COM
extract_prod,IKASERVICES.COM
extract_test,IKASERVICES.COM
fenway,IKASYSTEMS.COM
fh_medicaid,IKASERVICES.COM
football,IKASYSTEMS.COM
freedom,IKASERVICES.COM
freedom_cms,IKASERVICES.COM
freedomafcdr,IKACLAIM.COM
freedomma-claims-pr1,IKACLAIM.COM
freedomma-claims-pro,IKACLAIM.COM
freedomma-portals-pr,IKACLAIM.COM
freedommc-claims-pro,IKACLAIM.COM
freedommc-portals,IKACLAIM.COM
freedommc-portals-pr,IKACLAIM.COM
freedommc-portals-ts,IKACLAIM.COM
freedom-medicaregw,IKACLAIM.COM
freedom-portals,IKACLAIM.COM
frge_dev_admin,ENTCORE.COM
frge_dev_app,ENTCORE.COM
ftpconfiguser,IKASERVICES.COM
ftptest,IKASERVICES.COM
ftpuser,IKAPROD90.COM
gatewayrm,IKASYSTEMS.COM
gdma-vc01,IKASYSTEMS.COM
gg_iisadmin,IKAPROD55.COM
ghc,IKASERVICES.COM
ghc_reports,IKASERVICES.COM
ghcstg,IKASERVICES.COM
ghctst,IKASERVICES.COM
groudwork_admin,IKAPROD90.COM
gwbuilduser,IKASYSTEMS.COM
hap,IKASERVICES.COM
hapoper,IKAPROD65.COM
hapuser,IKAPROD65.COM
harvardroom,IKASYSTEMS.COM
healthnow01,IKASTG.COM
hearusa,IKASERVICES.COM
hercules_dev_admin,ENTCORE.COM
hercules_qa_admin,ENTCORE.COM
hny_mc,IKASERVICES.COM
hockey,IKASYSTEMS.COM
hop,IKASERVICES.COM
horizonblue,IKASERVICES.COM
hphc_aim,IKASERVICES.COM
hphc_buck,IKASERVICES.COM
hphc_claims_user,IKASERVICES.COM
hphc_download_user,IKASERVICES.COM
hphc_garity,IKASERVICES.COM
hphc_idcards_t,IKASERVICES.COM
hphc_oa,IKASERVICES.COM
hphc_sunfire,IKASERVICES.COM
hphc_ud,IKASERVICES.COM
hplex_affny,IKASERVICES.COM
htcomnetadmin,IKASERVICES.COM
hwtt_ucr,IKASERVICES.COM
iamadmin,IKASYSTEMS.COM
iamdevadmin,IKASYSTEMS.COM
iba_affinity,IKASERVICES.COM
iesn_hphc,IKASERVICES.COM
ikaadmin,IKACLAIMS40.COM
ikaadmin,IKACLAIMS45.COM
ikacrm02,IKASTG.COM
ikaem1,IKASTG.COM
ikaev343vault,IKASYSTEMS.COM
ikahist-ikatest,IKACLAIM.COM
ikamedpartners,IKASERVICES.COM
ikamm,IKACLAIM.COM
ikaschedular,IKACLAIMS40.COM
ikaschedular,IKAPROD130.COM
ikaschedular,IKASYSTEMS.COM
ikascheduler,IKAPROD60.COM
ikascheduler,IKASTG.COM
ikassl_feed,IKASERVICES.COM
ikasungarddr,IKASYSTEMS.COM
ikasystems,IKASERVICES.COM
ikatest,IKACLAIMS40.COM
ikaupmc,IKASERVICES.COM
ikawbftp,IKASERVICES.COM
imagenet_affinity,IKASERVICES.COM
independenth,IKASERVICES.COM
ips_ftpadmin,IKASERVICES.COM
ips_sftp,IKASERVICES.COM
ips_wsftp_admin,IKASERVICES.COM
ips_wsftpadmin,IKASERVICES.COM
ips_wsftpuser,IKASERVICES.COM
ips_wstfp_admin,IKASERVICES.COM
iqvs_ikaclaimsts1,IKACLAIM.COM
itauser01,IPERF194.COM
itest01,IKASYSTEMS.COM
itest02,IKASYSTEMS.COM
itest03,IKASYSTEMS.COM
iyen_sftp,IKASERVICES.COM
jacksonhp,IKASERVICES.COM
jira,IKASYSTEMS.COM
jira_backupfailures,IKASYSTEMS.COM
jira_ctm,IKASYSTEMS.COM
jira_iam,IKASYSTEMS.COM
jira_iamqa,IKASYSTEMS.COM
jira_veracode,IKASYSTEMS.COM
jmhp_medicare,IKASERVICES.COM
jpks_affny,IKASERVICES.COM
jpmc01_affny,IKASERVICES.COM
jpmc02_affny,IKASERVICES.COM
k1000-http,IKASYSTEMS.COM
kansasappealsgriev,IKASYSTEMS.COM
kbillington,IKASYSTEMS.COM
keys_eschc,IKASERVICES.COM
keys_hphc,IKASERVICES.COM
keysprint,IKASERVICES.COM
kmhp,IKASERVICES.COM
kmhp_passport,IKASERVICES.COM
knowledgebase,IKASERVICES.COM
labcorp,IKASERVICES.COM
ladp-thc-portals,IKACLAIMS45.COM
lasso_cob,IKASYSTEMS.COM
lasso_enrollment,IKASYSTEMS.COM
lasso_recoveries,IKASYSTEMS.COM
lawson_ghc,IKASERVICES.COM
lawsonb_ghc,IKASERVICES.COM
ledigateway,IKASTG.COM
linuxoncall,IKASYSTEMS.COM
lndmrkh_affny,IKASERVICES.COM
loadtest,IKACLAIMS40.COM
materialsoversight,IKASYSTEMS.COM
maximus,IKASERVICES.COM
mcna,IKASERVICES.COM
mdimpct,IKASERVICES.COM
mdwise,IKASERVICES.COM
medassets,IKASERVICES.COM
medco,IKASERVICES.COM
medhok_acs,IKASERVICES.COM
medimpact-claims,IKASTG.COM
medpartnersclaimspro,IKACLAIMS45.COM
medpartners-portals,IKACLAIMS45.COM
medpartners-portals2,IKACLAIMS45.COM
medpartnersstandby,IKACLAIMS45.COM
medpartnersstdby,IKACLAIMS45.COM
mimecastexceptions,IKASYSTEMS.COM
mit,IKASYSTEMS.COM
momreports,IKASYSTEMS.COM
monitor,IKASERVICES.COM
msadikatestuser,IKASYSTEMS.COM
msol_0f663fdea677,IKASYSTEMS.COM
msol_e608994d2e19,IKASYSTEMS.COM
musr_mqadmin,IKAPROD90.COM
musr_mqadmin,IKASERVICES.COM
ne_enrollment,IKASYSTEMS.COM
nia_hphc,IKASERVICES.COM
nonsslt,IKASERVICES.COM
odi01_chpw,IKASERVICES.COM
odi01_scan,IKASERVICES.COM
office134-2402,IKASYSTEMS.COM
opt_cms,IKASERVICES.COM
optimum-portals,IKACLAIM.COM
optum_hphc,IKASERVICES.COM
optumrx_hphc,IKASERVICES.COM
oracleoncallsupport,IKASYSTEMS.COM
oxford,IKASYSTEMS.COM
parkview,IKASERVICES.COM
parkview_cps,IKACLAIMS40.COM
parkview-claims,IKACLAIMS40.COM
parkview-prh,IKACLAIMS40.COM
parkview-sby,IKACLAIMS40.COM
parkviewstandby,IKACLAIMS40.COM
parkviewuser,IKACLAIMS40.COM
passport,IKACLAIMS40.COM
passport-d4c,IKACLAIM.COM
passport-d4c-prod,IKACLAIMS40.COM
passport-pm,IKACLAIMS40.COM
passport-portals,IKACLAIMS40.COM
payf_hphc,IKASERVICES.COM
payformance,IKASERVICES.COM
performrx,IKACLAIMS40.COM
performrx-dtm-prod,IKACLAIMS40.COM
pgba,IKASERVICES.COM
premeraappealsgrieve,IKASYSTEMS.COM
princeton,IKASYSTEMS.COM
priorityh,IKASERVICES.COM
privacyofficial,IKASYSTEMS.COM
prodreplication,IKAPROD130.COM
protocol,IKASERVICES.COM
prvdradv_chpw,IKASERVICES.COM
prx-portals,IKACLAIMS40.COM
